movie_id,movie_name,description,true_genre,predicted_genre,prob_action,prob_horror,prob_romance
tt4558370,Azazil: Dügüm,a story about an indian girl who was captured by azzizal her family tries to do something about it and a man of the faith comes he is essa ansari,horror,romance,0.16488156,0.23430684,0.60081154
tt6385190,Noir,welcome to the dark underworld of hollywood's golden age where monsters really do exist,horror,action,0.64553505,0.31968522,0.034779742
tt2150177,"Brother, Superhit!",a goon tries to win his wife back by making a movie on their love story,action,romance,0.095171675,0.01861818,0.8862102
tt3698340,Virt. Igra ne po-detski,a college student tanya jokingly agrees to engage in virtual sex with a stranger on the internet without even suggesting that she opened a pandora's box and now her life is in the hands,romance,horror,0.25610906,0.46457767,0.27931318
tt0064243,The Sweet Body of Deborah,a newlywed couple visits the husband's hometown in geneva where they are subjected to threats stemming from the death of his former fiancée,horror,romance,0.33638218,0.25173554,0.41188234
tt15144912,Vampire Apocalypse,a small group of survivors must fight their way through a now vampire infested world,action,horror,0.06695811,0.92457724,0.008464616
tt1931513,Ponnar Sankar,princess thamarai is ordered out of the palace by her brother for marrying a naadodi not taking to it well she challenges that she would be bringing up two sons whore leonine enough for him to get his daughters married to,action,romance,0.057658788,0.016376711,0.92596453
tt3377092,Female Prisoner 101: Sexual Hell,an obvious pink film knock-off of the joshûu sasori series with much more emphasis on sex,action,romance,0.111683674,0.2378634,0.6504529
tt2325931,Rampador Alindog,the true life story of rampador alindog a sadistic torture and murder the recipe for revenge another underworld character from cavite is the subject of this bioflick,action,horror,0.28584453,0.6795042,0.034651224
tt0399919,Yongmunui yeogeom,beom-wi a first-rate student of swordsmanship realizes that he will never be the favored pupil of master tae-san until he removes or discredits fellow student seo-ok,action,horror,0.41907382,0.42484403,0.15608217
tt0204069,I zavoliara,a fisherman's daughter is secretly in love with a strong man who works for her father; however after a nearly-fatal accident the crew will have to venture into the isle's notoriously dangerous waters will they return in one piece?,romance,horror,0.27823734,0.48987615,0.23188654
tt0359174,Dokufu Takahashi Oden,biopic of female japanese murderer takahashi oden,romance,action,0.8769445,0.057359394,0.065696135
tt15250248,Speed Shift: Journey Home,colton returns home to simplify his life and hopefully reunite with the girl of his dreams but trouble doesn't care forcing colton to do what he does best drive this time he gets a little help from some old and new friends,action,romance,0.2593135,0.29750255,0.4431839
tt5893906,Diminuendo,a film director whose life crumbles after the suicide of his hollywood starlet girlfriend becomes obsessed with a lifelike robot that appears to be her exact duplicate,romance,horror,0.22000164,0.40550363,0.37449482
